Name,url,tags
Cities: Skylines II,https://store.steampowered.com/app/949230/Cities_Skylines_II/?snr=1_7_7_7000_150_4,"Simulation,City Builder,Building,Singleplayer,Strategy,Multiplayer,Sandbox,Management,Economy,Realistic,Moddable,Atmospheric,Casual"
The Ascent,https://store.steampowered.com/app/979690/The_Ascent/?snr=1_7_7_7000_150_5,"Top-Down Shooter,Cyberpunk,Action,RPG,Shooter,Open World,Co-op,Indie,Adventure,Isometric,Action RPG,Twin Stick Shooter,Violent,Gore,Dystopian,Futuristic,Character Customization,Split Screen,Local Co-Op,PvE"
Voidtrain,https://store.steampowered.com/app/1159690/Voidtrain/?snr=1_7_7_7000_150_5,"Open World Survival Craft,Survival,Multiplayer,Co-op,Open World,Base Building,Crafting,Adventure,Online Co-Op,First-Person,Exploration,Building,Atmospheric,Sandbox,Singleplayer,Action,Simulation,Early Access,Indie,Trains"
Halls of Torment,https://store.steampowered.com/app/2218750/Halls_of_Torment/?snr=1_7_7_7000_150_5,"Early Access,Bullet Hell,Dark Fantasy,Action,RPG,Roguelike,Action RPG,Arcade,2D Fighter,Hack and Slash,Arena Shooter,2.5D,2D,Isometric,Pixel Graphics,Atmospheric,Top-Down,Dark,Demons,Fantasy"
Will To Live Online,https://store.steampowered.com/app/707010/Will_To_Live_Online/?snr=1_7_7_7000_150_5,"Survival,Multiplayer,Open World,Free to Play,Post-apocalyptic,Open World Survival Craft,Massively Multiplayer,FPS,MMORPG,Shooter,Action,Crafting,First-Person,RPG,Early Access,Exploration,Atmospheric,Gore,Indie,Violent"
Starship Troopers: Extermination,https://store.steampowered.com/app/1268750/Starship_Troopers_Extermination/?snr=1_7_7_7000_150_5,"Action,Online Co-Op,Sci-fi,First-Person,FPS,Combat,Co-op,Multiplayer,Arcade,Aliens,Wargame,PvE,Space,Shooter,Base Building,Arena Shooter,Class-Based,Early Access,3D,Realistic"
Derail Valley,https://store.steampowered.com/app/588030/Derail_Valley/?snr=1_7_7_7000_150_5,"Early Access,Simulation,Trains,VR,Realistic,Transportation,Driving,First-Person,Open World,Immersive Sim,Physics,Economy,Resource Management,Indie,Singleplayer,Replay Value,Adventure,Procedural Generation,Sandbox,Relaxing"
Cuphead,https://store.steampowered.com/app/268910/Cuphead/?snr=1_7_7_7000_150_5,"Difficult,Cartoon,Co-op,Platformer,Great Soundtrack,Local Co-Op,2D,Hand-drawn,Multiplayer,Indie,Retro,Cartoony,Bullet Hell,Action,Shoot 'Em Up,Singleplayer,Side Scroller,Colorful,Funny,Atmospheric"
Beat Saber,https://store.steampowered.com/app/620980/Beat_Saber/?snr=1_7_7_7000_150_5,"VR,Rhythm,Music,Moddable,Fast-Paced,Indie,First-Person,Singleplayer,Difficult,Multiplayer,Swordplay,Action,Sports,Futuristic,Casual,Music-Based Procedural Generation,Games Workshop,PvP,Early Access,Great Soundtrack"
American Truck Simulator,https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_7000_150_5,"Automobile Sim,Driving,Open World,Transportation,Simulation,America,Realistic,Moddable,Relaxing,Exploration,Economy,Atmospheric,Management,Immersive Sim,Multiplayer,Singleplayer,Adventure,Casual,Family Friendly,Level Editor"
GTFO,https://store.steampowered.com/app/493520/GTFO/?snr=1_7_7_7000_150_5,"Online Co-Op,Horror,Co-op,FPS,Difficult,Shooter,Multiplayer,Survival Horror,Action,Stealth,Tactical,First-Person,Team-Based,Gore,Zombies,PvE,Character Customization,Atmospheric,Violent,Replay Value"
Paladins®,https://store.steampowered.com/app/444090/Paladins/?snr=1_7_7_7000_150_5,"Hero Shooter,Free to Play,Multiplayer,FPS,Shooter,Action,Team-Based,First-Person,PvP,MOBA,Online Co-Op,Fantasy,Controller,Strategy,Co-op,Character Customization,Massively Multiplayer,Adventure,Colorful,Funny"
Gunfire Reborn,https://store.steampowered.com/app/1217060/Gunfire_Reborn/?snr=1_7_7_7000_150_5,"Roguelite,FPS,Online Co-Op,Co-op,Roguelike,Multiplayer,Looter Shooter,Indie,Action,Adventure,RPG,Shooter,Action Roguelike,First-Person,Dungeon Crawler,Replay Value,Early Access,Singleplayer,Fast-Paced,Loot"
